"","MSOA","residents","annual_income","NIC","ITEMS_SUM","ITEMS_per_capita","prescriptions_per_capita","prescriptions","NIC_per_capita","avg_generic_ratio","min_generic_ratio","max_generic_ratio","practices","residents_per_practice"
"3350","E02006185",7196,29640,187363.78,18683,2.596,0.389,2796,26.037,0.513,0.511336982017201,0.514831905075808,2,3598
"3351","E02006187",7225,37440,75991.2699999999,8873,1.228,0.182,1317,10.518,0.497,0.497342444950645,0.497342444950645,1,7225
"3352","E02006192",8110,36400,99363.3600000002,12571,1.55,0.173,1402,12.252,0.506,0.505706134094151,0.505706134094151,1,8110
"3353","E02006194",7659,30160,153451.68,15741,2.055,0.227,1740,20.035,0.515,0.514942528735632,0.514942528735632,1,7659
"3354","E02006195",8315,39520,145962.41,18806,2.262,0.213,1767,17.554,0.47,0.469722693831353,0.469722693831353,1,8315
"3355","E02006196",7187,27560,0.8,1,0,0,1,0,1,1,1,1,7187
"3356","E02006197",8235,28080,313698.24,36212,4.397,0.447,3681,38.093,0.529,0.505437597099948,0.552,2,4117
"3357","E02006199",8209,39000,80218.08,8436,1.028,0.144,1181,9.772,0.588,0.587637595258256,0.587637595258256,1,8209
"3358","E02006201",12199,44200,215316.81,26303,2.156,0.188,2299,17.65,0.48,0.480208786428882,0.480208786428882,1,12199
"3359","E02006206",8358,28080,335041.43,35043,4.193,0.434,3630,40.086,0.592,0.483414899401849,0.772727272727273,3,2786
"3360","E02006208",8157,28600,137647.86,14073,1.725,0.204,1663,16.875,0.52,0.520144317498497,0.520144317498497,1,8157
"3361","E02006210",5486,33280,38984.19,5860,1.068,0.176,967,7.106,0.518,0.518097207859359,0.518097207859359,1,5486
"3362","E02006212",7875,32760,120546.1,14052,1.784,0.192,1509,15.307,0.539,0.539430086149768,0.539430086149768,1,7875
"3363","E02006213",6555,31200,34040.62,4859,0.741,0.126,826,5.193,0.495,0.495157384987893,0.495157384987893,1,6555
"3364","E02006214",6119,29120,182490.4,21948,3.587,0.456,2789,29.824,0.505,0.49059982094897,0.520334928229665,2,3059
"3365","E02006215",7844,32240,67558.06,8830,1.126,0.152,1194,8.613,0.528,0.528475711892797,0.528475711892797,1,7844
"3366","E02006216",8710,35880,86777.8000000002,11453,1.315,0.149,1300,9.963,0.608,0.607692307692308,0.607692307692308,1,8710
"3367","E02006218",7851,27040,579392.680000001,82842,10.552,0.846,6644,73.799,0.511,0.460487804878049,0.611491108071135,4,1962
"3368","E02006220",7398,30680,40319.14,5787,0.782,0.129,958,5.45,0.604,0.604384133611691,0.604384133611691,1,7398
"3369","E02006223",7170,28080,109740.99,16094,2.245,0.462,3311,15.306,0.613,0.573187414500684,0.668358714043993,5,1434
"3370","E02006226",9677,33800,125960.97,19129,1.977,0.241,2336,13.017,0.55,0.491706161137441,0.608024691358025,2,4838
"3371","E02006227",6065,39000,87033.69,12160,2.005,0.23,1394,14.35,0.484,0.484218077474892,0.484218077474892,1,6065
"3372","E02006228",5758,33800,70375.69,9691,1.683,0.186,1071,12.222,0.549,0.549019607843137,0.549019607843137,1,5758
"3373","E02006229",5667,33800,165657.41,19708,3.478,0.324,1838,29.232,0.513,0.513057671381937,0.513057671381937,1,5667
"3374","E02006230",10444,35880,220694.48,28901,2.767,0.191,2000,21.131,0.487,0.487,0.487,1,10444
"3375","E02006233",11170,29640,471963.77,62466,5.592,0.382,4267,42.253,0.496,0.465134398130113,0.527647058823529,2,5585
"3376","E02006237",7726,36920,105539.98,15406,1.994,0.204,1579,13.66,0.478,0.478150728309056,0.478150728309056,1,7726
"3377","E02006238",9636,28080,210345.49,26684,2.769,0.307,2958,21.829,0.552,0.551549652118912,0.553376906318083,2,4818
"3378","E02006239",6558,35360,77107.38,10387,1.584,0.197,1293,11.758,0.537,0.536736272235112,0.536736272235112,1,6558
"3379","E02006241",8688,30680,82700.3400000002,11709,1.348,0.152,1320,9.519,0.555,0.55530303030303,0.55530303030303,1,8688
"3380","E02006246",7463,33280,174850.38,24159,3.237,0.261,1948,23.429,0.537,0.536960985626283,0.536960985626283,1,7463
"3381","E02006249",7876,39000,132574.8,14007,1.778,0.213,1675,16.833,0.528,0.527761194029851,0.527761194029851,1,7876
"3382","E02006250",9938,30160,310276.640000001,36408,3.664,0.354,3516,31.221,0.519,0.505460218408736,0.531701192718142,2,4969
"3383","E02006251",9700,32240,165657.02,14409,1.485,0.169,1638,17.078,0.618,0.548088779284834,0.6875,2,4850
"3384","E02006252",9134,31200,160222.63,13244,1.45,0.187,1710,17.541,0.512,0.511695906432749,0.511695906432749,1,9134
"3385","E02006253",7055,36400,383.82,15,0.002,0.001,10,0.054,0.167,0,0.333333333333333,2,3527
"3386","E02006254",8826,27040,224761.15,27543,3.121,0.24,2120,25.466,0.494,0.493867924528302,0.493867924528302,1,8826
"3387","E02006255",7799,32760,206108.67,17340,2.223,0.251,1960,26.428,0.512,0.511734693877551,0.511734693877551,1,7799
"3388","E02006257",6660,25480,106401.87,11763,1.766,0.214,1427,15.976,0.549,0.548703573931324,0.548703573931324,1,6660
"3389","E02006258",8991,29120,343621.39,33789,3.758,0.405,3642,38.218,0.514,0.504365690806369,0.524483775811209,2,4495
"3390","E02006262",8659,37440,132519.82,17037,1.968,0.184,1597,15.304,0.494,0.494051346274264,0.494051346274264,1,8659
"3391","E02006263",7278,34840,80528.21,10771,1.48,0.182,1323,11.065,0.497,0.496598639455782,0.496598639455782,1,7278
